ts,device_id,temp,humidity,co,lpg,smoke,nh3,motion,light
2025-01-01 00:00:00,sensor_1,20.818453409962775,55.583248425267925,0.009256627432321538,0.0023541762799953727,0.0014663622308755196,0.015459578673029906,1,0
2025-01-01 01:00:00,sensor_1,21.119431800192938,54.22087110603675,0.008243983879467608,0.004313824545083914,0.00031151324689704824,0.01931573730183758,1,0
2025-01-01 02:00:00,sensor_1,23.364339984102184,51.15924589703349,0.010760060776259087,0.005643099671893846,0.0034839674899836853,0.02225209862574126,0,0
2025-01-01 03:00:00,sensor_1,24.67798365841879,52.73848063028652,0.011059215730971253,0.004694186234984565,0.0,0.022335668921621206,1,0
2025-01-01 04:00:00,sensor_1,24.328472578377703,55.602215679761784,0.00847279779056509,0.002927912816843934,0.0,0.014243561143609598,1,0
2025-01-01 05:00:00,sensor_1,24.91571125055798,51.81486570475866,0.007891727329928745,0.007168580061446753,0.0,0.019312062218393867,1,0
2025-01-01 06:00:00,sensor_1,26.76115875472014,53.21883549464128,0.011567299220165497,0.0027505827383251173,0.0,0.018778724984255035,1,1
2025-01-01 07:00:00,sensor_1,25.758671746294162,52.49119087818795,0.009156082252367763,0.00297529273110672,0.0,0.020658680659088543,1,1
2025-01-01 08:00:00,sensor_1,24.339004177548045,50.9436540099193,0.007664492519541064,0.0036995023538848246,0.0,0.016719094068033496,1,1
2025-01-01 09:00:00,sensor_1,24.10284064769259,51.91960667100519,0.00810655419758076,0.004839693794187173,0.0,0.02056158270523757,1,1
2025-01-01 10:00:00,sensor_1,22.249947545427197,53.49773371305155,0.011032424329145134,0.004740499907097812,0.0,0.021604098117875444,1,1
2025-01-01 11:00:00,sensor_1,20.822321025497825,51.55910650330529,0.013143222968403211,0.003495767291294256,0.0,0.020450945748931602,1,1
2025-01-01 12:00:00,sensor_1,20.315498152954238,48.1945194826629,0.012031189710964998,0.004771670397404723,0.001856102014519315,0.02017335265526135,1,1
2025-01-01 13:00:00,sensor_1,17.343537130739325,53.254010286839055,0.006243737727700614,0.003836301375990675,0.00126353905004935,0.022183842384337987,1,1
2025-01-01 14:00:00,sensor_1,16.846032326034905,51.13348693807879,0.00980755966821791,0.004390163194307603,0.0,0.020202233391468174,1,1
2025-01-01 15:00:00,sensor_1,16.12230612748881,53.999576813357955,0.011632009917271254,0.007149312901284493,0.0,0.01933453220763078,1,1
2025-01-01 16:00:00,sensor_1,15.165799640145345,52.665108567077674,0.007048478830576883,0.003591619851194756,0.000487223214475126,0.018890095277329853,1,1
2025-01-01 17:00:00,sensor_1,15.304075199128356,57.55913474281234,0.013237651215658456,0.002606814808384852,0.0,0.017272771500377055,1,1
2025-01-01 18:00:00,sensor_1,14.633650131050214,54.00781633071877,0.006396977533365921,0.0037366398368123914,0.0002807764062544202,0.019750767495299658,1,0
2025-01-01 19:00:00,sensor_1,14.198732044764252,57.577753926140936,0.01120966543805292,0.005138880960423337,0.0,0.02209912196833594,0,0
2025-01-01 20:00:00,sensor_1,17.06951522991251,56.62180983021713,0.009298968321064886,0.009500378085162575,0.0,0.020027956858738604,1,0
2025-01-01 21:00:00,sensor_1,16.199857129840193,56.77089672251907,0.010436526476362243,0.0021715232992038096,0.00047316047041240903,0.019305351467453984,1,0
2025-01-01 22:00:00,sensor_1,17.54647384875149,50.996118051973404,0.010171680204868706,0.0060367947559672765,0.0,0.021998596706315147,1,0
2025-01-01 23:00:00,sensor_1,17.63719779155887,56.972037380023785,0.008249305683319552,0.007104477255135572,0.0,0.018730581348330215,1,0
2025-01-02 00:00:00,sensor_1,19.570112634171892,54.54145928994369,0.011071573185109032,0.007280386440458687,0.0,0.019808530844863732,1,0
2025-01-02 01:00:00,sensor_1,21.821160309632823,54.400144301795294,0.00954658756340316,0.004141387092819079,0.0,0.017649318253365787,1,0
2025-01-02 02:00:00,sensor_1,22.13867153569878,56.35317943740696,0.011166255267388344,0.004442213631357077,0.0,0.01886036983341601,1,0
2025-01-02 03:00:00,sensor_1,23.8378490889453,53.1536475819395,0.008699190508651188,0.004104455948979931,0.0,0.017314893396999084,1,0
2025-01-02 04:00:00,sensor_1,24.47039173386502,49.192916172638206,0.009511868772437298,0.00674272863728692,0.0016868570540617793,0.02113473940492934,1,0
